geo;name
PL21;małopolskie
PL22;śląskie
PL41;wielkopolskie
PL42;zachodniopomorskie
PL43;lubuskie
PL51;dolnośląskie
PL52;opolskie
PL61;kujawsko-pomorskie
PL62;warmińsko-mazurskie
PL63;pomorskie
PL71;łódzkie
PL72;świętorzyskie
PL81;lubelskie
PL82;podkarpackie
PL84;podlaskie
PL91;warszawski
PL92;mazowiecki
